Local Authority Code,Period,Measure Type,Value
E06000046,2003,population,134783.0
E06000047,2003,population,493931.0
E06000049,2003,population,355529.0
E06000050,2003,population,324378.0
E06000051,2003,population,286913.0
E06000052,2003,population,508579.0
E06000053,2003,population,2155.0
E06000054,2003,population,442633.0
E06000055,2003,population,150684.0
E06000056,2003,population,238547.0
E06000057,2003,population,309448.0
E06000058,2003,population,348483.0
E06000059,2003,population,353367.0
E06000060,2003,population,480164.0
E07000008,2003,population,111317.0
E07000009,2003,population,77447.0
E07000010,2003,population,86296.0
E07000011,2003,population,159626.0
E07000012,2003,population,134057.0
E07000026,2003,population,94559.0
E07000027,2003,population,70914.0
E07000028,2003,population,102777.0
E07000029,2003,population,69273.0
E07000030,2003,population,50878.0
E07000031,2003,population,102928.0
E07000032,2003,population,117898.0
E07000033,2003,population,73343.0
E07000034,2003,population,99929.0
E07000035,2003,population,69368.0
E07000036,2003,population,110080.0
E07000037,2003,population,89185.0
E07000038,2003,population,97127.0
E07000039,2003,population,85312.0
E07000040,2003,population,127170.0
E07000041,2003,population,111064.0
E07000042,2003,population,71472.0
E07000043,2003,population,89570.0
E07000044,2003,population,81994.0
E07000045,2003,population,122424.0
E07000046,2003,population,60663.0
E07000047,2003,population,49698.0
E07000061,2003,population,92163.0
E07000062,2003,population,86596.0
E07000063,2003,population,93227.0
E07000064,2003,population,86718.0
E07000065,2003,population,142444.0
E07000066,2003,population,167089.0
E07000067,2003,population,135767.0
E07000068,2003,population,69234.0
E07000069,2003,population,87237.0
E07000070,2003,population,160360.0
E07000071,2003,population,157164.0
E07000072,2003,population,121404.0
E07000073,2003,population,78128.0
E07000074,2003,population,59996.0
E07000075,2003,population,79513.0
E07000076,2003,population,139909.0
E07000077,2003,population,70278.0
E07000078,2003,population,109282.0
E07000079,2003,population,81212.0
E07000080,2003,population,80729.0
E07000081,2003,population,111545.0
E07000082,2003,population,108840.0
E07000083,2003,population,77673.0
E07000084,2003,population,154833.0
E07000085,2003,population,109561.0
E07000086,2003,population,116696.0
E07000087,2003,population,108545.0
E07000088,2003,population,77585.0
E07000089,2003,population,85180.0
E07000090,2003,population,117346.0
E07000091,2003,population,171256.0
E07000092,2003,population,89727.0
E07000093,2003,population,111271.0
E07000094,2003,population,108515.0
E07000095,2003,population,87817.0
E07000096,2003,population,138413.0
E07000098,2003,population,94419.0
E07000099,2003,population,119148.0
E07000102,2003,population,83946.0
E07000103,2003,population,80644.0
E07000105,2003,population,105636.0
E07000106,2003,population,138608.0
E07000107,2003,population,87011.0
E07000108,2003,population,105784.0
E07000109,2003,population,95569.0
E07000110,2003,population,141246.0
E07000111,2003,population,109280.0
E07000112,2003,population,98540.0
E07000113,2003,population,125348.0
E07000114,2003,population,128140.0
E07000115,2003,population,109494.0
E07000116,2003,population,104390.0
E07000117,2003,population,88282.0
E07000118,2003,population,102003.0
E07000119,2003,population,74212.0
E07000120,2003,population,81408.0
E07000121,2003,population,134635.0
E07000122,2003,population,88559.0
E07000123,2003,population,132685.0
E07000124,2003,population,55400.0
E07000125,2003,population,65729.0
E07000126,2003,population,105149.0
E07000127,2003,population,109273.0
E07000128,2003,population,107246.0
E07000129,2003,population,91592.0
E07000130,2003,population,153664.0
E07000131,2003,population,79118.0
E07000132,2003,population,101210.0
E07000133,2003,population,48429.0
E07000134,2003,population,87794.0
E07000135,2003,population,56161.0
E07000136,2003,population,56975.0
E07000137,2003,population,133218.0
E07000138,2003,population,86405.0
E07000139,2003,population,98593.0
E07000140,2003,population,79299.0
E07000141,2003,population,126209.0
E07000142,2003,population,82498.0
E07000143,2003,population,123247.0
E07000144,2003,population,120333.0
E07000145,2003,population,92526.0
E07000146,2003,population,138272.0
E07000147,2003,population,99121.0
E07000148,2003,population,122963.0
E07000149,2003,population,113665.0
